"Real for Spin Coating,0; ,None - Test","Averages for Spin Coating,0; ,None","Real for Spin Coating,1; ,None - Test","Averages for Spin Coating,1; ,None"
0.86,0.7990313768386841,0.68,0.6580095291137695
0.56,0.6630982458591461,0.95,0.9486377835273743
6.08,6.137549996376038,0.98,1.4331168234348297
3.12,3.075148820877075,0.8,0.765202060341835
0.95,0.9196029752492905,0.95,0.9445551782846451
0.7,0.6709291487932205,3.37,3.590064823627472
7.12,7.171541333198547,0.86,0.881152406334877
0.82,0.753563404083252,3.2,3.160466969013214
0.76,0.7830006182193756,2.64,2.641188383102417
1.3,1.295617789030075,5.0,4.923821449279785
6.15,6.29241943359375,0.95,0.91785828769207
3.37,3.590253472328186,4.51,4.504444241523743
2.62,1.496373862028122,1.88,1.987115889787674
4.29,3.9707823395729065,0.95,0.8969852030277252
4.32,4.526083946228027,0.93,0.8142281621694565
0.82,0.7556863576173782,0.95,0.9222735017538071
6.69,6.678831696510315,0.8,0.755522221326828
2.28,1.9167585968971252,0.95,0.9179313033819199
6.6,6.609791994094849,6.6,6.657258629798889
4.39,4.516746520996094,0.95,0.9327625334262848
1.93,1.8060141801834106,3.6,3.5093348622322083
2.48,2.6727914810180664,0.7,0.6696271747350693
0.95,0.9556479454040527,7.04,6.547770619392395
0.95,0.9225973039865494,1.88,1.977651298046112
4.01,4.346369981765747,1.05,0.9351134300231934
4.01,4.34699547290802,7.62,6.971141338348389
0.97,0.9864347726106644,0.93,0.8138925284147263
0.84,0.8120575100183487,0.95,0.919087216258049
7.39,7.471939206123352,0.95,0.9445125311613083
4.5,4.51913321018219,2.79,2.914218783378601
0.95,0.9334362894296646,0.94,0.800582617521286
0.95,0.9118163138628006,7.44,7.960726857185364
1.38,0.9699523001909256,0.95,0.9276510328054428
0.95,0.9243567436933517,0.83,0.9342986345291138
4.32,4.5043686628341675,0.95,0.9377464652061462
3.2,3.168682277202606,0.86,0.856143593788147
3.67,4.030278444290161,0.83,0.9580273777246475
4.67,4.527576565742493,0.82,0.7543952465057373
7.89,7.757241368293762,0.95,0.923750028014183
7.94,7.909187912940979,8.71,8.508836507797241
0.95,0.9194182604551315,0.95,0.9408599436283112
4.51,4.5117892026901245,4.43,4.510537266731262
7.89,7.706496715545654,0.6,0.623088002204895
0.95,0.9055561125278473,0.81,0.7720639854669571
3.4,3.4675217866897583,7.04,6.577124238014221
4.33,4.286185145378113,6.47,6.246057033538818
7.04,6.6165831089019775,1.38,0.968188926577568
6.26,6.8031511306762695,3.04,3.0191650986671448
0.95,0.9584644287824631,0.78,0.8206615447998047
3.12,3.0694046020507812,2.62,1.5707989037036896
4.36,4.477917313575745,0.95,0.9570028185844421
